sex,birth,education,family,job,rich,religion,voting,politics,x,y,location,lang
m,1983,1,1,6,4,8,11,3,-0.08,-0.15,0,r
m,1975,1,3,7,7,1,11,4,-0.3,-0.03,0,r
f,1989,3,1,16,1,1,11,3,-0.23,-0.13,,r
m,1981,1,1,8,4,8,11,2,0.2,-0.3,,r
m,,3,2,13,1,8,5,1,0,-0.65,,r
f,1987,1,1,1,2,1,11,1,-0.33,-0.7,5,r
f,1988,,,5,,,,,0.13,-0.48,12,r
m,1971,3,1,14,2,8,1,2,-0.1,-0.73,,r
f,1981,1,2,3,6,8,6,2,-0.13,-0.43,0,r
m,1966,1,1,14,5,8,2,1,0.13,-0.23,32,r
m,1988,1,2,4,5,8,11,1,-0.05,-0.65,0,r
m,1984,3,1,6,5,8,5,3,-0.23,0.05,32,r
m,1975,1,2,5,2,3,11,1,0.15,-0.5,0,r
m,1995,3,2,9,1,8,11,3,-0.13,-0.18,,r
m,,1,1,6,,8,,1,0.13,-0.4,,r
m,1978,1,1,6,7,8,2,3,0.23,-0.28,63,r
m,,2,1,5,7,1,7,3,-0.28,0.1,,r
m,,1,3,4,4,1,11,1,-0.18,0.05,,r
m,1974,1,1,4,5,8,11,2,0,-0.53,0,r
m,1980,1,1,2,6,1,11,2,-0.15,-0.48,,r
m,1977,1,1,4,6,1,2,2,-0.15,-0.08,14,r
f,1983,1,3,7,2,8,2,3,-0.23,-0.48,,r
m,1981,1,1,11,5,8,6,1,0.1,-0.15,0,r
m,1989,1,2,13,1,8,11,2,-0.3,-0.28,71,r
m,1987,3,1,6,7,8,11,1,0.23,-0.35,32,r
m,1990,1,2,6,3,8,11,1,-0.73,-0.18,,r
m,1989,1,2,6,4,8,10,2,0.63,-0.65,0,r
m,1985,3,2,2,4,6,6,3,-0.15,-0.53,,r
f,1988,1,1,3,2,1,10,3,-0.08,-0.23,32,r
m,1980,1,1,6,7,8,6,3,0.15,-0.53,0,r
m,,,,5,,,,,0.13,-0.03,32,r
m,1975,5,2,14,5,8,11,2,0.28,-0.43,0,r
m,1990,1,2,6,4,1,11,1,-0.43,-0.58,0,r
m,1997,5,2,13,1,8,11,3,-0.18,-0.63,65,r
m,1982,3,2,7,6,8,6,2,0.18,-0.48,0,r
m,1978,1,2,6,5,8,2,1,0.18,-0.63,43,r
f,1985,1,2,16,5,9,11,2,-0.48,-0.35,,r
m,1976,1,3,6,5,8,10,1,-0.18,-0.4,32,r
m,1977,1,1,8,4,1,2,3,0.05,-0.38,63,r
m,1978,1,1,7,6,1,11,3,0.1,-0.5,0,r
m,1976,1,1,16,7,1,11,1,-0.05,-0.65,0,r
m,,1,1,6,6,8,11,1,0.58,-0.63,,r
f,1991,3,1,8,4,1,11,1,-0.5,-0.1,,r
m,1975,5,3,13,1,8,11,2,-0.05,-0.25,0,r
m,1997,3,2,9,1,8,2,3,-0.23,-0.28,,r
